Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0006626,protein targeting to mitochondrion,19_GO:0051179 localization,-5.6,11,8.2,30293,62,299,7,2.3,0.87,3320|9512|26519|54332|131118|131474|401505,HSP90AA1|PMPCB|TIMM10|GDAP1|DNAJC19|CHCHD4|TOMM5,-3.6
MyList,GO Biological Processes,19,GO:0010506,regulation of autophagy,19_GO:0008152 metabolic process,-5.5,4.3,6.2,30293,355,299,15,5,1.3,528|826|2932|5127|5599|6009|6721|10059|11152|25782|55187|55737|55847|79142|128866,ATP6V1C1|CAPNS1|GSK3B|CDK16|MAPK8|RHEB|SREBF2|DNM1L|WDR45|RAB3GAP2|VPS13D|VPS35|CISD1|PHF23|CHMP4B,-3.6
MyList,GO Biological Processes,19,GO:0099003,vesicle-mediated transport in synapse,19_GO:0051179 localization,-5.5,6.6,7,30293,153,299,10,3.3,1,528|1175|6623|6857|8927|9342|10947|23025|55737|80331,ATP6V1C1|AP2S1|SNCG|SYT1|BSN|SNAP29|AP3M2|UNC13A|VPS35|DNAJC5,-3.5
MyList,GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-5.4,3.7,5.9,30293,460,299,17,5.7,1.3,1137|1740|2776|2932|3785|3786|4885|6623|6857|6863|8927|9342|23025|51248|56888|63908|80331,CHRNA4|DLG2|GNAQ|GSK3B|KCNQ2|KCNQ3|NPTX2|SNCG|SYT1|TAC1|BSN|SNAP29|UNC13A|PDZD11|KCMF1|NAPB|DNAJC5,-3.4
MyList,GO Biological Processes,19,GO:0042775,mitochondrial ATP synthesis coupled electron transport,19_GO:0008152 metabolic process,-5.4,8.6,7.4,30293,94,299,8,2.7,0.93,1327|4700|4706|4714|4725|6391|7386|388753,COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|COA6,-3.4
MyList,GO Biological Processes,19,GO:0042773,ATP synthesis coupled electron transport,19_GO:0008152 metabolic process,-5.4,8.6,7.4,30293,94,299,8,2.7,0.93,1327|4700|4706|4714|4725|6391|7386|388753,COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|COA6,-3.4
MyList,GO Biological Processes,19,GO:0006511,ubiquitin-dependent protein catabolic process,19_GO:0008152 metabolic process,-5.2,3.4,5.7,30293,530,299,18,6,1.4,2932|4738|5527|5700|5710|5713|5718|6921|6992|7320|9867|23392|57154|79589|80344|83892|128866|143384,GSK3B|NEDD8|PPP2R5C|PSMC1|PSMD4|PSMD7|PSMD12|ELOC|PPP1R11|UBE2B|PJA2|ECPAS|SMURF1|RNF128|DCAF11|KCTD10|CHMP4B|CACUL1,-3.2
MyList,GO Biological Processes,19,GO:0072655,establishment of protein localization to mitochondrion,19_GO:0051179 localization,-5.1,9.7,7.4,30293,73,299,7,2.3,0.87,3320|9512|26519|54332|131118|131474|401505,HSP90AA1|PMPCB|TIMM10|GDAP1|DNAJC19|CHCHD4|TOMM5,-3.2
MyList,GO Biological Processes,19,GO:0019941,modification-dependent protein catabolic process,19_GO:0008152 metabolic process,-5.1,3.4,5.6,30293,540,299,18,6,1.4,2932|4738|5527|5700|5710|5713|5718|6921|6992|7320|9867|23392|57154|79589|80344|83892|128866|143384,GSK3B|NEDD8|PPP2R5C|PSMC1|PSMD4|PSMD7|PSMD12|ELOC|PPP1R11|UBE2B|PJA2|ECPAS|SMURF1|RNF128|DCAF11|KCTD10|CHMP4B|CACUL1,-3.1
MyList,GO Biological Processes,19,GO:0007018,microtubule-based movement,19_GO:0009987 cellular process,-5.1,3.9,5.8,30293,389,299,15,5,1.3,1740|1780|3797|4131|6990|7320|7846|10947|25911|51143|51566|57576|81565|81832|81892,DLG2|DYNC1I1|KIF3C|MAP1B|DYNLT3|UBE2B|TUBA1A|AP3M2|DPCD|DYNC1LI1|ARMCX3|KIF17|NDEL1|NETO1|SLIRP,-3.1
MyList,GO Biological Processes,19,GO:0051603,proteolysis involved in protein catabolic process,19_GO:0008152 metabolic process,-5,3.2,5.5,30293,598,299,19,6.4,1.4,2932|4738|5527|5700|5710|5713|5718|6921|6992|7320|9867|10730|23392|57154|79589|80344|83892|128866|143384,GSK3B|NEDD8|PPP2R5C|PSMC1|PSMD4|PSMD7|PSMD12|ELOC|PPP1R11|UBE2B|PJA2|YME1L1|ECPAS|SMURF1|RNF128|DCAF11|KCTD10|CHMP4B|CACUL1,-3.1
