Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0030705,cytoskeleton-dependent intracellular transport,19_GO:0051179 localization,-3.2,4.2,4.5,30293,193,298,8,2.7,0.94,6103|23353|30850|55930|57728|79659|92104|283234,RPGR|SUN1|CDR2L|MYO5C|WDR19|DYNC2H1|IFT70A|CCDC88B,-1.1
MyList,GO Biological Processes,19,GO:1901983,regulation of protein acetylation,19_GO:0008152 metabolic process,-3.2,9.9,5.7,30293,41,298,4,1.3,0.67,406|4802|23451|201163,BMAL1|NFYC|SF3B1|FLCN,-1.1
MyList,GO Biological Processes,19,GO:0090130,tissue migration,19_GO:0032501 multicellular organismal process,-3.1,5.5,4.8,30293,110,298,6,2,0.81,4017|5829|9353|11167|22976|57669,LOXL2|PXN|SLIT2|FSTL1|PAXIP1|EPB41L5,-1
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-3.1,2.7,3.9,30293,526,298,14,4.7,1.2,1289|1909|4017|4215|4883|5311|8322|9353|10427|10451|22976|79659|196528|221981,COL5A1|EDNRA|LOXL2|MAP3K3|NPR3|PKD2|FZD4|SLIT2|SEC24B|VAV3|PAXIP1|DYNC2H1|ARID2|THSD7A,-1
MyList,GO Biological Processes,19,GO:0001822,kidney development,19_GO:0032502 developmental process,-3.1,3.4,4.1,30293,300,298,10,3.4,1,1909|2200|5311|9353|23279|54806|57122|79659|84159|201163,EDNRA|FBN1|PKD2|SLIT2|NUP160|AHI1|NUP107|DYNC2H1|ARID5B|FLCN,-1
MyList,GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-3.1,3.1,4.1,30293,355,298,11,3.7,1.1,2146|5311|5932|29945|29980|51720|55031|55367|55835|126520|196528,EZH2|PKD2|RBBP8|ANAPC4|DONSON|UIMC1|USP47|PIDD1|CENPJ|PLK5|ARID2,-1
MyList,GO Biological Processes,19,GO:0090263,positive regulation of canonical Wnt signaling pathway,19_GO:0048518 positive regulation of biological process,-3.1,5.4,4.7,30293,112,298,6,2,0.81,406|10023|54994|55031|59352|340419,BMAL1|FRAT1|GID8|USP47|LGR6|RSPO2,-1
MyList,GO Biological Processes,19,GO:0018193,peptidyl-amino acid modification,19_GO:0008152 metabolic process,-3.1,2.7,3.9,30293,532,298,14,4.7,1.2,2872|3643|3717|4017|5352|8569|23398|51661|57337|79070|79813|84444|92715|114799,MKNK2|INSR|JAK2|LOXL2|PLOD2|MKNK1|PPWD1|FKBP7|SENP7|POGLUT2|EHMT1|DOT1L|DPH7|ESCO1,-1
MyList,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-3,2.7,3.9,30293,535,298,14,4.7,1.2,1655|2976|3717|4205|5253|6774|9330|11083|11198|51742|55718|56652|80314|286826,DDX5|GTF3C2|JAK2|MEF2A|PHF2|STAT3|GTF3C3|DIDO1|SUPT16H|ARID4B|POLR3E|TWNK|EPC1|LIN9,-0.99
MyList,GO Biological Processes,19,GO:0034470,ncRNA processing,19_GO:0008152 metabolic process,-3,2.9,4,30293,416,298,12,4,1.1,1655|4931|10171|54487|55596|55656|65095|80746|84135|192670|203522|221400,DDX5|NVL|RCL1|DGCR8|ZCCHC8|INTS8|KRI1|TSEN2|UTP15|AGO4|INTS6L|TDRD6,-0.99
MyList,GO Biological Processes,19,GO:2000278,regulation of DNA biosynthetic process,19_GO:0008152 metabolic process,-3,5.4,4.6,30293,114,298,6,2,0.81,4931|5111|11232|25849|26272|54464,NVL|PCNA|POLG2|PARM1|FBXO4|XRN1,-0.99
MyList,GO Biological Processes,19,GO:0060396,growth hormone receptor signaling pathway,19_GO:0050896 response to stimulus,-3,15,6.4,30293,20,298,3,1,0.58,3717|5829|6774,JAK2|PXN|STAT3,-0.99
MyList,GO Biological Processes,19,GO:0000729,DNA double-strand break processing,19_GO:0050896 response to stimulus,-3,15,6.4,30293,20,298,3,1,0.58,1763|5932|56916,DNA2|RBBP8|SMARCAD1,-0.99
MyList,GO Biological Processes,19,GO:0000076,DNA replication checkpoint signaling,19_GO:0048519 negative regulation of biological process,-3,15,6.4,30293,20,298,3,1,0.58,1763|9656|29980,DNA2|MDC1|DONSON,-0.99
