_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,GO:0048661,positive regulation of smooth muscle cell proliferation,M1,1,0
1,-2.3,GO:0009155,purine deoxyribonucleotide catabolic process,M1,1,0
1,-2.2,GO:2001185,"regulation of CD8-positive, alpha-beta T cell activation",M1,1,0
1,-2.4,GO:0032946,positive regulation of mononuclear cell proliferation,M1,1,0
1,-3.3,GO:0061900,glial cell activation,M1,1,0
1,-2.8,GO:0033673,negative regulation of kinase activity,M1,1,0
1,-2.8,GO:0060710,chorio-allantoic fusion,M1,1,0
1,-2.1,GO:0035148,tube formation,M1,1,0
1,-2.2,GO:0043473,pigmentation,M1,1,0
1,-2.3,GO:0046626,regulation of insulin receptor signaling pathway,M1,1,0
1,-3,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-3,GO:0044242,cellular lipid catabolic process,M1,1,0
1,-2.9,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-4.8,GO:1903532,positive regulation of secretion by cell,M1,1,0
